date	Google Chrome	Internet Explorer	Firefox	Safari	Microsoft Edge	Opera	Mozilla	Other/Unknown
2015 Jun 15	48.09	24.14	18.82	7.46	0.03	1.32	0.12	0.01
2015 Jun 16	48	24.19	18.96	7.36	0.03	1.32	0.12	0.01
2015 Jun 17	47.87	24.44	18.91	7.27	0.03	1.36	0.12	0.01
2015 Jun 18	48.22	23.83	19.16	7.24	0.04	1.39	0.12	0.01
2015 Jun 19	47.91	23.86	19.35	7.31	0.04	1.41	0.12	0.01
2015 Jun 20	48.78	21.14	19.66	8.42	0.05	1.83	0.1	0.01
2015 Jun 21	49.43	20.55	19.42	8.66	0.05	1.75	0.12	0.01
2015 Jun 22	48.98	23.47	18.84	7.25	0.04	1.28	0.12	0.01
2015 Jun 23	48.69	23.76	18.89	7.22	0.04	1.27	0.11	0.01
2015 Jun 24	49.17	23.35	18.91	7.09	0.04	1.32	0.12	0.01
2015 Jun 25	49.32	23.39	18.76	7.03	0.04	1.34	0.11	0
2015 Jun 26	49.39	23.11	18.84	7.14	0.04	1.37	0.1	0
2015 Jun 27	49.77	20.68	19.23	8.46	0.05	1.71	0.09	0.01
2015 Jun 28	50.07	20.41	18.91	8.77	0.05	1.69	0.1	0.01
2015 Jun 29	49.32	23.3	18.54	7.4	0.04	1.27	0.11	0.01
2015 Jun 30	49.99	22.94	18.45	7.07	0.07	1.32	0.13	0.02
2015 Jul 1	50.22	22.79	18.46	6.95	0.07	1.37	0.12	0.02
2015 Jul 2	50.33	22.59	18.74	6.69	0.07	1.45	0.12	0.02
2015 Jul 3	50.4	21.29	19.28	7.28	0.08	1.54	0.11	0.02
2015 Jul 4	50.83	20.02	19.12	7.99	0.08	1.82	0.11	0.02
2015 Jul 5	51.6	19.6	18.43	8.58	0.07	1.62	0.1	0.01
2015 Jul 6	50.53	22.64	18.04	7.33	0.07	1.27	0.11	0.01
2015 Jul 7	50.01	23.02	18.32	7.25	0.07	1.25	0.06	0.01
2015 Jul 8	49.52	23.17	18.55	7.31	0.07	1.32	0.05	0.01
2015 Jul 9	49.31	23.24	18.7	7.22	0.08	1.39	0.05	0.01
2015 Jul 10	48.4	23.68	18.97	7.37	0.09	1.43	0.05	0.01
2015 Jul 11	48.87	21.22	19.33	8.65	0.1	1.76	0.06	0.01
2015 Jul 12	49.4	20.87	18.84	8.99	0.09	1.73	0.07	0.01
2015 Jul 13	49.12	23.35	18.49	7.51	0.07	1.39	0.05	0.01
2015 Jul 14	49.36	23.2	18.48	7.48	0.08	1.35	0.05	0.01
2015 Jul 15	48.88	23.73	18.46	7.44	0.09	1.34	0.05	0.01
2015 Jul 16	48.76	23.77	18.5	7.43	0.09	1.4	0.05	0.01
2015 Jul 17	47.58	24.54	18.76	7.53	0.09	1.43	0.06	0.01
2015 Jul 18	48.06	21.89	19.14	8.99	0.11	1.74	0.07	0.01
2015 Jul 19	48.39	21.5	19	9.23	0.11	1.7	0.07	0.01
2015 Jul 20	48.32	23.91	18.62	7.68	0.09	1.32	0.06	0.01
2015 Jul 21	47.81	24.98	18.34	7.52	0.08	1.2	0.06	0.01
2015 Jul 22	48.28	24.4	18.45	7.44	0.08	1.29	0.06	0.01
2015 Jul 23	48.41	24.2	18.57	7.35	0.08	1.31	0.07	0.01
2015 Jul 24	48.22	23.96	18.67	7.55	0.1	1.42	0.06	0.01
2015 Jul 25	48.11	21.86	19.28	8.88	0.1	1.65	0.08	0.02
2015 Jul 26	48.27	21.57	19	9.38	0.11	1.59	0.08	0.01
2015 Jul 27	48.5	23.72	18.59	7.76	0.1	1.27	0.06	0.01
2015 Jul 28	48.48	23.95	18.46	7.61	0.12	1.31	0.07	0.02
2015 Jul 29	48.33	23.77	18.56	7.51	0.42	1.33	0.06	0.02
2015 Jul 30	47.8	24.06	18.6	7.46	0.7	1.3	0.07	0.02
2015 Jul 31	48.41	22.9	18.88	7.48	0.84	1.41	0.07	0.01
2015 Aug 1	48.8	20.29	19.16	8.75	1.16	1.75	0.07	0.02
2015 Aug 2	48.95	20.27	18.81	9	1.23	1.65	0.08	0.02
2015 Aug 3	49.07	22.67	18.35	7.59	0.93	1.31	0.07	0.01
2015 Aug 4	49.18	22.72	18.31	7.44	0.95	1.32	0.07	0.02
2015 Aug 5	49.56	22.37	18.28	7.38	0.99	1.34	0.06	0.01
2015 Aug 6	49.77	21.81	18.28	7.67	1.12	1.28	0.05	0.01
2015 Aug 7	48.73	22.63	18.42	7.5	1.26	1.39	0.06	0.01
2015 Aug 8	49.6	18.97	19.11	8.79	1.69	1.74	0.09	0.02
2015 Aug 9	49.68	18.85	18.71	9.23	1.72	1.72	0.08	0.02
2015 Aug 10	49.11	22.54	17.97	7.64	1.28	1.39	0.06	0.01
